2000,02/11/1999,19/04/2000
2001,31/10/2000,18/04/2001
2002,30/10/2001,17/04/2002
2003,29/10/2002,16/04/2003
2004,28/10/2003,14/04/2004
2005,2/11/2004,20/04/2005
2006,1/11/2005,19/04/2006
2007,31/10/2006,18/04/2007
2008,30/10/2007,16/04/2008
2009,28/10/2008,16/04/2009
2010,27/10/2009,14/04/2010
2011,26/10/2010,13/04/2011
2012,25/12/2011,26/04/2012
2013,30/10/2012,17/04/2013
2014,29/10/2013,16/04/2014
2015,28/10/2014,15/04/2015
2016,27/10/2015,13/04/2016
2017,25/10/2016,12/04/2017
2018,17/10/2017,11/04/2018
2019,16/10/2018,10/04/2019
2020,22/10/2019,11/03/2020
